card_id,customer_id,card_type_id,card_number,expiration_date,credit_limit,current_balance,issue_date
1,1,5,5553-2503-7025-1241,04/26,66500.0,8357.1,2023-12-25
2,1,4,5322-3510-3574-3968,01/28,25500.0,6979.07,2023-11-21
3,2,3,5551-3621-1230-4565,07/27,22900.0,722.3,2023-05-22
4,2,4,5460-0683-4866-8864,02/27,26500.0,1023.16,2024-11-07
5,2,5,5401-2502-4409-0563,03/28,62500.0,747.93,2023-08-11
6,3,1,6565-6298-5882-3155,04/27,3300.0,837.2,2023-03-05
7,3,3,3492-2525-5887-8638,06/28,14800.0,3127.95,2024-02-29
8,3,4,3479-5684-1497-1975,04/28,31200.0,482.61,2024-06-01
9,4,4,5236-7986-0387-2329,10/27,47800.0,8147.37,2022-07-20
10,4,1,5342-7188-7562-9643,07/27,4400.0,524.3,2023-12-28
11,4,3,5348-3227-7370-8750,05/27,24800.0,5310.58,2023-05-28
12,5,4,5277-9027-6414-7230,05/27,44100.0,1701.32,2024-02-07
13,5,3,5541-8544-8460-2772,09/27,16500.0,475.89,2024-08-08
14,5,1,3498-6580-1842-3411,10/26,4500.0,1336.59,2022-06-13
15,6,5,6447-8683-1953-6311,09/25,82700.0,12699.73,2024-12-24
16,6,1,5118-6973-5053-0262,02/28,2000.0,475.82,2025-02-09
17,6,4,5268-2684-3562-7596,12/25,32400.0,393.04,2025-03-11
18,7,3,5196-2216-4281-4658,09/27,24800.0,1568.55,2023-10-18
19,7,2,5316-5513-3407-0507,04/26,9200.0,1794.11,2024-11-30
20,8,5,5257-5096-5176-2573,12/26,85900.0,5491.79,2024-12-08
21,8,3,5293-5710-8740-9619,01/28,17000.0,3420.02,2023-10-07
22,8,2,5529-8895-3429-5424,03/26,7500.0,1458.17,2024-02-17
23,9,4,6011-2480-3383-6405,07/26,49900.0,684.9,2024-03-10
24,9,2,3413-5114-3578-2372,06/28,6200.0,181.61,2023-05-29
25,9,5,3493-9052-1772-3682,08/26,50600.0,2244.04,2023-03-01
