card_id,customer_id,card_type_id,card_number,expiration_date,credit_limit,current_balance,issue_date
1,1,5,5553-2503-7025-1241,04/26,66500.00,7856.57,2023-12-25T00:00:00
2,1,4,5322-3510-3574-3968,01/28,25500.00,7090.37,2023-11-21T00:00:00
3,2,3,5551-3621-1230-4565,07/27,22900.00,7581.30,2023-05-22T00:00:00
4,2,4,5460-0683-4866-8864,02/27,26500.00,-160.51,2024-11-07T00:00:00
5,2,5,5401-2502-4409-0563,03/28,62500.00,1306.59,2023-08-11T00:00:00
6,3,1,6565-6298-5882-3155,04/27,3300.00,1620.47,2023-03-05T00:00:00
7,3,3,3492-2525-5887-8638,06/28,14800.00,3046.78,2024-02-29T00:00:00
8,3,4,3479-5684-1497-1975,04/28,31200.00,-1845.41,2024-06-01T00:00:00
9,4,4,5236-7986-0387-2329,10/27,47800.00,5802.66,2022-07-20T00:00:00
10,4,1,5342-7188-7562-9643,07/27,4400.00,-267.97,2023-12-28T00:00:00
11,4,3,5348-3227-7370-8750,05/27,24800.00,6937.36,2023-05-28T00:00:00
12,5,4,5277-9027-6414-7230,05/27,44100.00,1190.09,2024-02-07T00:00:00
13,5,3,5541-8544-8460-2772,09/27,16500.00,296.64,2024-08-08T00:00:00
14,5,1,3498-6580-1842-3411,10/26,4500.00,817.81,2022-06-13T00:00:00
15,6,5,6447-8683-1953-6311,09/25,82700.00,16732.55,2024-12-24T00:00:00
16,6,1,5118-6973-5053-0262,02/28,2000.00,326.40,2025-02-09T00:00:00
17,6,4,5268-2684-3562-7596,12/25,32400.00,-1133.63,2025-03-11T00:00:00
18,7,3,5196-2216-4281-4658,09/27,24800.00,1436.84,2023-10-18T00:00:00
19,7,2,5316-5513-3407-0507,04/26,9200.00,6113.40,2024-11-30T00:00:00
20,8,5,5257-5096-5176-2573,12/26,85900.00,5541.86,2024-12-08T00:00:00
21,8,3,5293-5710-8740-9619,01/28,17000.00,2624.30,2023-10-07T00:00:00
22,8,2,5529-8895-3429-5424,03/26,7500.00,475.38,2024-02-17T00:00:00
23,9,4,6011-2480-3383-6405,07/26,49900.00,4895.24,2024-03-10T00:00:00
24,9,2,3413-5114-3578-2372,06/28,6200.00,102.57,2023-05-29T00:00:00
25,9,5,3493-9052-1772-3682,08/26,50600.00,2041.00,2023-03-01T00:00:00
26,10,4,3475-5472-0211-9363,11/25,25700.00,6808.02,2023-01-03T00:00:00
27,10,5,6011-9750-1201-3075,12/26,89000.00,7439.20,2024-06-09T00:00:00
28,11,1,5480-3948-9667-7724,02/27,4900.00,934.22,2023-06-02T00:00:00
29,11,4,6577-6768-9666-9748,12/27,26400.00,4537.27,2025-01-30T00:00:00
30,11,5,6445-7736-2116-3326,12/26,69600.00,20534.94,2023-04-21T00:00:00
31,12,3,5145-3876-0976-3313,06/26,11100.00,44.46,2023-09-15T00:00:00
